year	aysm	contig	ally	sq	dema	demb	disp	py
1948	0.985458	0	0	-0.027132	-10	10	0	2
1948	0.995046	0	1	0.983816	-1	10	0	2
1948	0.487112	1	0	-0.915249	10	7	0	2
1948	0.671075	1	0	0.969181	10	10	0	2
1948	0.994664	0	0	-0.915249	10	10	0	2
1948	0.994107	0	0	0.0200107	5	10	0	2
1948	0.960684	0	0	-0.923384	2	10	0	2
1948	0.995467	0	1	0.983816	10	5	0	2
1948	0.991928	0	0	-0.923384	10	-5	0	2
1948	0.97435	0	0	-0.915249	3	-9	0	2
1948	0.999199	0	0	0.0153992	-6	10	0	2
1948	0.876493	1	0	0.232782	10	10	0	2
1948	0.98207	0	0	-0.209971	-9	-3	0	2
1948	0.925792	0	0	0.276735	10	10	0	2
1948	0.950431	0	0	-0.923384	10	2	1	0
1948	0.96506	0	0	-0.915249	5	-9	0	2
1948	0.99924	0	0	0.231904	10	10	0	2
1948	0.788666	0	0	-0.234153	10	10	0	2
1948	0.927479	0	0	0.358546	-4	10	0	2
1948	0.201363	1	0	0.654785	5	-4	0	2
1948	0.996237	0	0	-0.923384	10	-3	0	2
1948	0.368772	1	1	0.465374	-7	-6	0	2
1948	0.993241	1	0	0.101497	-6	10	0	2
1948	0.928255	1	0	0.282413	10	-3	0	2
1948	0.902124	0	0	-0.915249	10	2	0	2
1948	0.997361	1	0	0.0929197	10	-6	0	2
1948	0.94295	1	0	0.0662858	-9	-1	0	1
1948	0.105404	1	0	0.96495	-6	8	0	2
1948	0.414592	1	0	0.995918	2	5	0	2
1948	0.520683	1	0	0.692847	-10	-10	0	2
1948	0.993754	0	0	0.228072	-5	10	0	2
1948	0.987319	0	1	0.983816	10	3	0	2
1948	0.958775	0	0	-0.923384	10	3	0	2
1948	0.942791	0	0	0.206146	10	-6	0	2
1948	0.430088	0	0	-0.45415	-5	10	0	2
1948	0.987914	0	1	0.983816	10	2	0	2
1948	0.258506	1	1	1	-5	-5	0	2
1948	0.99837	0	0	0.101497	-6	-9	0	2
1948	0.623784	1	0	0.942022	10	-6	0	2
1948	0.997546	0	1	0.983816	-5	10	0	2
1948	0.995838	0	1	0.983816	10	-5	0	2
1948	0.992577	0	0	-0.915249	-8	10	0	2
1948	0.986338	0	0	-0.923384	-5	10	0	2
1948	0.389429	1	0	0.640814	-9	4	0	2
1948	0.985708	0	0	0.11799	8	-9	0	2
1948	0.999378	1	1	0.983816	-3	10	0	2
1948	0.887115	1	1	0.399685	1	10	0	2
1948	0.133164	1	0	0.962701	10	10	0	2
1948	0.99501	0	0	-0.915249	-5	-9	0	2
1948	0.95751	0	0	0.226513	10	10	0	2
1948	0.925326	0	0	0.200638	10	-4	0	1
1948	0.984707	0	1	0.983816	2	10	0	2
1948	0.97695	1	0	0.229053	10	8	0	2
1948	0.85949	0	0	0.213412	-6	10	0	2
1948	0.87996	0	0	0.490473	-7	10	0	1
1948	0.96873	0	0	0.114433	-9	10	0	2
1948	0.89752	0	0	-0.915249	10	3	0	2
1948	0.990792	0	0	-0.915249	-9	5	0	2
1948	0.815083	0	0	0.206249	10	10	0	2
1948	0.803361	1	1	0.289192	7	-3	0	2
1948	0.862815	1	1	1	7	0	0	2
1948	0.929784	0	0	0.222803	10	8	0	2
1948	0.998714	0	0	-0.915249	-9	10	0	2
1948	0.880598	0	0	0.043246	10	-9	0	2
1948	0.86544	0	0	0.107764	-9	10	0	2
1948	0.986924	0	0	0.16085	10	10	0	2
1948	0.236647	0	1	0.654081	-9	10	1	1
1948	0.961634	0	0	0.0981825	10	-10	0	2
1948	0.862611	0	0	0.61155	10	-9	0	2
1948	0.990635	0	0	0.0981825	-10	-9	0	2
1948	0.603945	1	0	0.96495	-9	8	1	0
1948	0.905097	0	0	0.276955	10	-7	0	2
1948	0.980399	0	0	-0.923384	0	10	0	2
1948	0.673381	0	0	-0.915249	10	-6	0	2
1948	0.901118	1	1	0.215338	10	10	0	2
1948	0.876122	1	0	0.232761	10	10	0	2
1948	0.998209	0	0	-0.915249	-9	-8	0	2
1948	0.773172	1	0	0.261248	-4	10	0	1
1948	0.983754	0	0	-0.923384	-1	10	0	2
1948	0.939515	0	0	-0.0452456	10	10	0	2
1948	0.894475	0	0	0.233779	10	10	0	2
1948	0.959182	0	0	0.0600168	10	10	0	2
1948	0.931226	1	1	1	-3	5	0	2
1948	0.717766	1	0	0.410364	10	-7	0	2
1948	0.982684	0	1	0.983816	10	5	0	2
1948	0.255841	1	1	1	-3	-8	0	2
1948	0.941898	0	0	0.236318	8	10	0	2
1948	0.999368	0	1	0.983816	10	10	0	2
1948	0.968829	0	0	0.114454	10	-9	0	2
1948	0.883257	0	0	0.544143	-10	10	0	2
1948	0.97951	0	0	0.10718	2	10	0	2
1948	0.585499	0	0	0.213514	10	10	0	2
1948	0.647009	1	1	1	5	7	0	2
1948	0.439168	1	1	0.980898	10	10	0	2
1948	0.991153	0	1	0.273008	-3	10	0	2
1948	0.774475	0	0	0.406748	10	10	0	2
1948	0.603801	1	0	0.967888	10	10	0	2
1948	0.987446	0	0	-0.0284748	10	10	0	2
1948	0.971113	1	0	-0.218106	-3	10	0	2
1948	0.9509	0	0	0.225638	10	10	0	2
1948	0.712545	0	0	0.0823725	10	4	0	2
1948	0.990454	0	0	-0.923384	10	-9	0	2
1948	0.862341	0	0	-0.915249	5	10	0	2
1948	0.960682	0	0	0.226931	10	10	0	2
1948	0.987746	0	0	0.403913	10	-10	0	2
1948	0.995389	0	0	0.0127062	10	-10	0	2
1948	0.534693	0	0	-0.253255	10	10	0	2
1948	0.987324	0	0	-0.0170228	-5	-9	0	2
1948	0.820647	1	1	1	5	-6	0	2
1948	0.988969	0	0	0.127362	-9	-9	0	2
1948	0.554862	1	0	0.958679	10	8	0	2
1948	0.92416	0	1	0.616066	-7	-9	0	2
1948	0.626821	0	0	0.439547	10	10	0	2
1948	0.957154	0	0	0.673779	-9	10	0	2
1948	0.373277	1	1	1	-8	-8	0	2
1948	0.538615	1	0	0.43458	10	10	0	2
1948	0.989523	1	1	0.365347	-9	-9	0	2
1948	0.853631	0	0	-0.0444576	-9	-4	0	1
1948	0.971099	1	1	0.356271	-4	10	0	2
1948	0.403954	1	1	1	-8	5	0	2
1948	0.941462	1	1	1	-5	7	0	2
1948	0.982061	0	0	0.358546	-9	-4	0	2
1948	0.995207	1	1	0.382559	-10	10	0	2
1948	0.922381	0	0	0.0823725	-9	4	0	2
1948	0.970615	1	1	0.239246	-9	-10	0	2
